
UC;OLD_NIO;NEW_NIO;DATA
59411147;44251915;44251915;6/24/2024
91491150;44251949;44251949;6/21/2024
93875800;44251714;44251714;6/21/2024
106372378;44250116;44250116;6/26/2024
106531654;44250039;44250039;6/26/2024
79981801;44250115;44250115;6/26/2024
106439855;44250113;44250113;6/26/2024
90457463;44250118;44250118;6/26/2024
62692674;44250119;44250119;6/26/2024
106466690;44250111;44250111;6/26/2024
88991407;44251786;44251786;6/28/2024
66558816;44252133;44252133;6/28/2024
71516794;44251984;44251984;6/27/2024
95965157;44251847;44251847;6/27/2024
95071008;44250570;44250570;6/27/2024
95070818;44250564;44250564;6/27/2024
94832013;44251849;44251849;6/27/2024
104132817;44251978;44251978;6/27/2024
96311037;44250561;44250561;6/27/2024
97229709;44251851;44251851;6/27/2024
12499773;44000626;44000626;6/28/2024
93128495;44251757;44251757;6/26/2024
93192754;44251763;44251763;6/26/2024
93229364;44251762;44251762;6/26/2024
93176031;44251766;44251766;6/26/2024
93176074;44251764;44251764;6/26/2024
95749322;44251758;44251758;6/26/2024
72744251;44000724;44000724;6/24/2024
80172156;44251827;44251827;6/24/2024
80199615;44251829;44251829;6/24/2024
59411236;44000644;44000644;6/24/2024
94487677;44251916;44251916;6/24/2024
39961397;44250900;44250900;6/24/2024
98370618;44250898;44250898;6/24/2024
93183143;44250896;44250896;6/24/2024
92817637;44000118;44000118;6/24/2024
80373968;44000298;44000298;6/24/2024
77317270;44000311;44000311;6/26/2024
44055072;44250899;44250899;6/24/2024
95335536;44252547;44252547;6/24/2024
87078546;44252197;44252197;6/24/2024
42930332;44000143;44000143;6/26/2024
19859724;44000593;44000593;6/26/2024
8407002;44251683;44251683;6/27/2024
86347870;44251677;44251677;6/27/2024
54916933;44000325;44000325;6/24/2024
39548651;44251681;44251681;6/21/2024
8407010;44252360;44252360;6/24/2024
22703209;44000443;44000443;6/24/2024
91616611;44251740;44251740;6/24/2024
8407037;44251744;44251744;6/24/2024
106952498;44251678;44251678;6/21/2024
82547165;44251737;44251737;6/24/2024
92348076;44251745;44251745;6/24/2024
99213214;44251741;44251741;6/24/2024
99361906;44251746;44251746;6/24/2024
91973333;44251738;44251738;6/24/2024
30488923;44251742;44251742;6/24/2024
98283618;44000628;44000628;6/24/2024
91973112;44251743;44251743;6/24/2024
91973457;44251739;44251739;6/24/2024
82281416;44000226;44000226;6/24/2024
81827687;44252552;44252552;6/24/2024
83661271;44252554;44252554;6/24/2024
84131403;44250765;44250765;6/24/2024
90262263;44250527;44250527;6/24/2024
84232943;44250528;44250528;6/24/2024
83696130;44250523;44250523;6/24/2024
85031585;44250525;44250525;6/24/2024
83660534;44250524;44250524;6/24/2024
85483311;44250530;44250530;6/24/2024
83587209;44250529;44250529;6/24/2024
85276669;44250522;44250522;6/24/2024
83748539;44250521;44250521;6/24/2024
83799575;44250526;44250526;6/24/2024
8403619;44000985;44000985;6/24/2024
23458470;44252586;44252586;6/24/2024
25698826;44252579;44252579;6/24/2024
8403651;44000987;44000987;6/24/2024
8403660;44252584;44252584;6/24/2024
94721629;44000800;44000800;6/26/2024
8390169;44000794;44000794;6/26/2024
97478156;44000798;44000798;6/26/2024
8390312;44000792;44000792;6/26/2024
8390177;44000793;44000793;6/26/2024
8390304;44000795;44000795;6/26/2024
36828378;44000876;44000876;6/24/2024
36854786;44251691;44251691;6/21/2024
99513277;44000320;44000320;6/26/2024
28642848;44000300;44000300;6/27/2024
38099373;44252556;44252556;6/24/2024
28426312;44000549;44000549;6/27/2024
102481245;44251703;44251703;6/26/2024
105645524;44251939;44251939;6/26/2024
100690092;44252615;44252615;6/26/2024
100531741;44252614;44252614;6/27/2024
102060983;44252607;44252607;6/27/2024
86671367;44251704;44251704;6/26/2024
105099090;44252019;44252019;6/26/2024
106348434;44252610;44252610;6/26/2024
100774539;44252613;44252613;6/26/2024
100640427;44252616;44252616;6/27/2024
100226965;44251699;44251699;6/26/2024
105357715;44251698;44251698;6/26/2024
105988235;44251997;44251997;6/26/2024
92491650;44251986;44251986;6/28/2024
92500927;44250163;44250163;6/26/2024
91586895;44251982;44251982;6/27/2024
34340580;44251981;44251981;6/27/2024
8363404;44000542;44000542;6/26/2024
8363390;44251985;44251985;6/27/2024
98456750;44000541;44000541;6/26/2024
99445158;44251977;44251977;6/27/2024
99941562;44251980;44251980;6/27/2024
106710354;44250073;44250073;6/21/2024
105832677;44250077;44250077;6/21/2024
106019554;44252049;44252049;6/26/2024
106064908;44250080;44250080;6/21/2024
105738913;44250042;44250042;6/26/2024
106874071;44250074;44250074;6/21/2024
105426687;44252052;44252052;6/26/2024
105649813;44250046;44250046;6/26/2024
106287133;44252055;44252055;6/26/2024
106579169;44250075;44250075;6/21/2024
107476550;44250071;44250071;6/21/2024
106003119;44250044;44250044;6/26/2024
8510237;44000601;44000601;6/27/2024
34718079;44000603;44000603;6/27/2024
104215003;44250018;44250018;6/26/2024
104329696;44250017;44250017;6/26/2024
108295761;44250013;44250013;6/26/2024
104213116;44250014;44250014;6/26/2024
8403333;44250078;44250078;6/21/2024
90907779;44250200;44250200;6/24/2024
77783549;44251864;44251864;6/24/2024
48425117;44252272;44252272;6/24/2024
84025603;44250033;44250033;6/26/2024
80284272;44250883;44250883;6/24/2024
110594258;44250076;44250076;6/21/2024
8389993;44251680;44251680;6/21/2024
110512421;44251679;44251679;6/21/2024
110622391;44251682;44251682;6/21/2024
109637364;44250079;44250079;6/21/2024
112506755;44251686;44251686;6/21/2024
