
UC;NEW_NIO;OLD_NIO;DATA
108941752;45254867;411379215;10/7/2024
106449621;45254868;393532216;10/7/2024
27522954;45254866;874031279;10/7/2024
109774671;45254902;414377436;10/7/2024
109992962;45254865;415578547;10/7/2024
110074106;45254904;414476935;10/7/2024
109890183;45254903;415076323;10/7/2024
110252420;45254907;373532755;10/7/2024
109712269;45254905;414377483;10/7/2024
110356497;45254901;415578752;10/7/2024
110017811;45254909;415578516;10/7/2024
110047192;45254906;362731140;10/7/2024
110325192;45254900;361232599;10/7/2024
109887204;45254908;413378121;10/7/2024
51246686;44714852;400841227;10/7/2024
110443799;45256992;415578934;10/7/2024
43477089;45256990;202930868;10/7/2024
34528920;44714849;301040441;10/7/2024
8346470;45256997;401030016;10/7/2024
89240898;44283281;341330934;10/7/2024
62583883;44283276;812030258;10/7/2024
20430795;45252063;332333716;10/7/2024
74160125;44708291;341640955;10/7/2024
48639621;45257022;372130248;10/7/2024
111543762;45252066;421777936;10/7/2024
21177821;45252062;353132637;10/7/2024
107000660;45257026;401030365;10/7/2024
86767569;45254591;373531806;10/7/2024
100344909;44711680;351344151;10/7/2024
103604901;45459827;373530314;10/7/2024
98706454;45254581;353132613;10/7/2024
80820026;45254589;292230131;10/7/2024
80590977;45254590;413378258;10/7/2024
93927932;44707409;331040031;10/7/2024
90173880;44707414;302443377;10/7/2024
94719853;45254595;331431941;10/7/2024
97200948;45254592;343234807;10/7/2024
98967142;45459834;292632200;10/7/2024
94514909;45459832;312834891;10/7/2024
83405097;45255952;972032558;10/7/2024
46938230;45255956;371072754;10/7/2024
78464560;44708549;401140600;10/7/2024
77354010;45255951;371734809;10/7/2024
63220750;45255955;370532610;10/7/2024
47902612;45255950;214033920;10/7/2024
40998762;45255957;413376391;10/7/2024
93800134;45255954;331133992;10/7/2024
29819113;45255968;212130522;10/7/2024
45066302;45252130;211830615;10/7/2024
45063591;44282953;211830534;10/7/2024
8150559;45256457;930832634;10/7/2024
44036396;44282947;200432062;10/7/2024
97804312;45252138;342642249;10/7/2024
97774480;45256450;350134622;10/7/2024
26030608;45457093;350133714;10/7/2024
8157081;45252132;360133761;10/7/2024
50285424;44715557;913243966;10/7/2024
55258395;44715556;880841220;10/7/2024
8329796;44711734;413279415;10/7/2024
8349797;45252041;854631269;10/7/2024
46997490;45252043;222730469;10/7/2024
8346747;45252047;260332424;10/7/2024
88607348;45252042;400488161;10/7/2024
8346550;45252049;894231890;10/7/2024
8148759;44708599;831340705;10/7/2024
103451854;45457127;373530458;10/7/2024
100437109;45457126;353134774;10/7/2024
102170240;45457099;370232491;10/7/2024
104172630;45457104;360540345;10/7/2024
101699352;45457133;362430336;10/7/2024
100437192;45457101;353134775;10/7/2024
103352112;45457130;372930329;10/7/2024
107742705;45457121;393330644;10/7/2024
104148098;45457129;380331726;10/7/2024
101699301;45457100;393330645;10/7/2024
104771798;45457134;380731694;10/7/2024
72303034;44709613;333840861;10/7/2024
70341397;44709648;961940428;10/7/2024
58848967;44709657;212043660;10/7/2024
107832380;44709617;400343641;10/7/2024
107832445;44709644;323840139;10/7/2024
103289283;44710759;400142371;10/7/2024
8125821;45255033;851430871;10/7/2024
84189959;44710674;323341695;10/7/2024
47957565;45460638;351733987;10/7/2024
76641384;45460640;282632054;10/7/2024
26030640;45254700;274731311;10/7/2024
83056432;45254703;284532250;10/7/2024
8122210;44709242;331941000;10/7/2024
26618788;45254708;930831482;10/7/2024
77825128;45461068;281230675;10/7/2024
85260991;45461067;300932206;10/7/2024
101732805;44709932;342640191;10/7/2024
90875443;44708976;280241090;10/7/2024
43940510;44709934;323343486;10/7/2024
84635444;44709933;431180937;10/7/2024
49207091;44708800;411979184;10/7/2024
110884310;44709936;412579478;10/7/2024
19288409;44709286;913243877;10/7/2024
79486509;45255450;940734167;10/7/2024
8209200;45460657;993632870;10/7/2024
8209251;45255459;214131939;10/7/2024
63590824;45255455;350133061;10/7/2024
56991746;45460664;331133726;10/7/2024
75095882;45255454;324331660;10/7/2024
73500054;45255491;290631267;10/7/2024
36579114;44715494;972841083;10/7/2024
48467812;45252336;244830042;10/7/2024
85769193;45252339;284533169;10/7/2024
69336555;44709213;270840521;10/7/2024
102048932;45252330;413076252;10/7/2024
43340016;45252338;330330946;10/7/2024
58635750;45252337;202430247;10/7/2024
43169481;45252332;421777806;10/7/2024
106400894;44709215;400940932;10/7/2024
106400959;44709216;412079663;10/7/2024
8337055;45256382;301033243;10/7/2024
103568352;45256381;370730358;10/7/2024
64491471;44709212;333140871;10/7/2024
36713333;44709594;342642044;10/7/2024
106644696;44710244;410879618;10/7/2024
108763072;44710248;410879617;10/7/2024
89507860;45255545;390673247;10/7/2024
105394467;45255540;390134750;10/7/2024
8343330;45255543;842030180;10/7/2024
8343730;45255546;401630832;10/7/2024
79229077;45252723;280330803;10/7/2024
86703080;45254677;990332218;10/7/2024
84933798;45457006;291431993;10/7/2024
40952355;45457005;992533701;10/7/2024
8208271;45457007;422976680;10/7/2024
8211078;44715514;823240859;10/7/2024
50862294;45457013;421978660;10/7/2024
61294241;45457012;430678397;10/7/2024
79311822;45457014;390134569;10/7/2024
55863620;45254679;371733224;10/7/2024
102692190;45457008;371733226;10/7/2024
105024341;45254670;392132429;10/7/2024
105024414;45254673;392330036;10/7/2024
105024449;45254671;392132431;10/7/2024
103672010;44711142;413780299;10/7/2024
110185978;44709537;413180256;10/7/2024
109767420;44709540;411979223;10/7/2024
107529670;44711202;401273382;10/7/2024
110079310;44710879;413780321;10/7/2024
109716264;44711143;413279305;10/7/2024
110548434;44709539;421079183;10/7/2024
107003864;44711144;400742082;10/7/2024
109029496;44711203;401273433;10/7/2024
74927493;45255642;202930070;10/7/2024
80173462;45255647;212130519;10/7/2024
81405146;45253652;901230210;10/7/2024
70427410;45253637;423277921;10/7/2024
8392579;45255648;362233237;10/7/2024
89821319;45255646;200530787;10/7/2024
85526193;45253658;202030808;10/7/2024
8211426;44715476;833045726;10/7/2024
90403525;45456943;400231283;10/7/2024
89978951;45456944;224131586;10/7/2024
90540581;45456940;233731048;10/7/2024
90684087;45456942;361732256;10/7/2024
102205337;45456939;361733603;10/7/2024
90565843;45456937;310530855;10/7/2024
90683811;45456938;400630135;10/7/2024
102489602;45456935;370231326;10/7/2024
90417135;45456936;390933865;10/7/2024
90684257;45255771;244430479;10/7/2024
89637461;44570143;333069646;10/7/2024
62240552;44715553;412579384;10/7/2024
8343900;44715551;401141776;10/7/2024
108383016;45461134;410876859;10/7/2024
8343934;44715552;400441824;10/7/2024
22885412;44715554;330444568;10/7/2024
8345740;44715555;294640553;10/7/2024
89030362;44715550;421480047;10/7/2024
8344825;44709182;803545807;10/7/2024
96001283;45457061;312131993;10/7/2024
96001216;45457058;312131155;10/7/2024
21059632;45457060;390232049;10/7/2024
88630072;44707930;420580368;10/7/2024
73742732;44711624;873641688;10/7/2024
52116182;45460253;361730449;10/7/2024
8212902;45457043;331040114;10/7/2024
93824637;45457035;333930004;10/7/2024
99140594;45459757;330331158;10/7/2024
106232126;45456988;392632536;10/7/2024
8209529;45456994;361033097;10/7/2024
97247413;45456991;292330974;10/7/2024
103442588;45457041;373134524;10/7/2024
100867618;45456993;360133088;10/7/2024
100938329;45456992;360230856;10/7/2024
105273546;45456986;390233032;10/7/2024
105411418;45457042;392331027;10/7/2024
97324841;45457038;342730268;10/7/2024
97134384;45456985;341830531;10/7/2024
97200654;45457039;342730253;10/7/2024
98700880;45457037;353130970;10/7/2024
100577431;45456990;353134567;10/7/2024
97263710;45457040;342730256;10/7/2024
98556053;45456987;353132981;10/7/2024
92287182;44282884;311332725;10/7/2024
60948566;45252234;960830646;10/7/2024
112547958;45252236;351633274;10/7/2024
93803524;44282879;331131699;10/7/2024
84362618;45252237;940533822;10/7/2024
89234456;44282877;372431735;10/7/2024
86157060;44282875;402572560;10/7/2024
92287360;44282878;311332723;10/7/2024
71049592;44710300;953140234;10/7/2024
90578449;44710302;413780338;10/7/2024
80743072;44714909;200841843;10/7/2024
84270020;45460193;400288168;10/7/2024
106422464;45460201;393532736;10/7/2024
111661625;45460200;423076488;10/7/2024
50740474;45460191;421876917;10/7/2024
106716220;45460189;400230684;10/7/2024
111139708;45460185;421277528;10/7/2024
110679482;45460194;421978782;10/7/2024
110291522;45460190;352531433;10/7/2024
110340230;45460204;421078767;10/7/2024
108324230;45460186;400488397;10/7/2024
110734068;45460196;413377846;10/7/2024
110546334;45460199;421077818;10/7/2024
100857175;45460716;360230818;10/7/2024
93278640;45254137;412678147;10/7/2024
58003053;45254131;961630623;10/7/2024
67591272;45254132;290631246;10/7/2024
33625808;45460724;270430834;10/7/2024
93996934;45254828;932230322;10/7/2024
8361738;44715329;400272797;10/7/2024
21162832;45460205;352432905;10/7/2024
77005171;45460244;413377615;10/7/2024
96766557;45254494;393532039;10/7/2024
8361762;45460209;401233522;10/7/2024
30042267;45254497;401133032;10/7/2024
87254409;45460206;410878215;10/7/2024
101959656;45460210;370230285;10/7/2024
28718470;45460211;423176508;10/7/2024
21038368;45254498;352431813;10/7/2024
59248262;45460208;421978427;10/7/2024
36494003;45460207;961543229;10/7/2024
8361533;45460113;371272725;10/7/2024
52948382;44714914;270840545;10/7/2024
69867143;44714919;413779170;10/7/2024
46274618;45461123;402572528;10/7/2024
40447430;44714918;984340155;10/7/2024
37368214;45461115;973632144;10/7/2024
36713821;44714916;972840299;10/7/2024
69874603;45461117;270431954;10/7/2024
62982311;44715305;802940227;10/7/2024
61706299;44715306;412079795;10/7/2024
8384444;44715309;883640998;10/7/2024
8384452;44715307;882840370;10/7/2024
92063802;45256027;324333477;10/7/2024
106574361;45256024;400230223;10/7/2024
81043295;45460567;291932528;10/7/2024
84739410;45460571;294732600;10/7/2024
101938560;45460574;284532975;10/7/2024
8360103;45460566;353131586;10/7/2024
8337942;45460150;883233574;10/7/2024
111819040;45460146;333931724;10/7/2024
111813174;45460147;421776526;10/7/2024
111854164;45460264;430878257;10/7/2024
82844755;45460257;282731568;10/7/2024
82864128;45460256;291730586;10/7/2024
85211435;45460154;393031351;10/7/2024
98519069;45460148;313531440;10/7/2024
31921515;44282960;911631409;10/7/2024
43757090;44282961;793635551;10/7/2024
87891859;44282956;851231416;10/7/2024
84758775;44282955;343234797;10/7/2024
75821087;44282958;280430449;10/7/2024
77939026;44709297;312640129;10/7/2024
8372810;45254669;962731256;10/7/2024
41990323;45254661;244131237;10/7/2024
101540167;45460948;361730641;10/7/2024
88241114;45460949;302031297;10/7/2024
88702391;45460953;400230396;10/7/2024
92138926;45460950;311332664;10/7/2024
88310736;45460954;400230568;10/7/2024
88815218;45460952;421977984;10/7/2024
90039408;45460976;400230557;10/7/2024
88820068;45460977;282632985;10/7/2024
89094891;45460975;393031329;10/7/2024
90251563;45460984;271533938;10/7/2024
67545335;44710698;322540803;10/7/2024
86919695;44283089;430678609;10/7/2024
94696640;45254633;321533169;10/7/2024
103500618;45254638;373131292;10/7/2024
102200807;45254630;371732725;10/7/2024
55561276;45254631;341830477;10/7/2024
89504283;44715524;790142640;10/7/2024
89011449;44715522;790142706;10/7/2024
74369792;44715523;401040513;10/7/2024
109252004;44710407;410879794;10/7/2024
108406539;44715525;401141868;10/7/2024
112634141;44710406;421479668;10/7/2024
97101010;45460319;341832561;10/7/2024
78867150;45460317;272233011;10/7/2024
97291706;45460324;341832528;10/7/2024
76562891;45460315;282633874;10/7/2024
55252249;45460323;241733173;10/7/2024
72983302;45460316;272432064;10/7/2024
101640587;45460308;361831241;10/7/2024
100807623;44711696;322540781;10/7/2024
100972608;44711699;323340063;10/7/2024
101319355;44711694;323342139;10/7/2024
95337334;44711698;323342542;10/7/2024
100083137;44711695;351344194;10/7/2024
8096660;44282924;874032028;10/7/2024
8355924;45460303;402272633;10/7/2024
63105438;44715339;783846252;10/7/2024
105893730;45460304;390731546;10/7/2024
104286377;45460296;392131518;10/7/2024
104240903;44282919;392131441;10/7/2024
104054891;45460300;362233180;10/7/2024
103985280;45460299;361033053;10/7/2024
93438532;45256090;353132518;10/7/2024
75232057;45256099;280430448;10/7/2024
75505053;45256097;980432822;10/7/2024
54066794;45256096;331931022;10/7/2024
61008710;45460965;230533551;10/7/2024
56024479;45460967;212232515;10/7/2024
57068291;45460971;250132476;10/7/2024
108079210;45460972;390531958;10/7/2024
103649085;45460968;370732381;10/7/2024
105145637;44710187;390142562;10/7/2024
103679790;44710189;371642998;10/7/2024
100707386;44570149;401569838;10/7/2024
103810226;44710185;331041809;10/7/2024
106990705;44710188;370141580;10/7/2024
68064586;44570151;290469977;10/7/2024
77780884;44570523;283269863;10/7/2024
73666955;44570520;290369531;10/7/2024
57545677;44570522;321269965;10/7/2024
85643440;45255811;301331086;10/7/2024
73541400;45255817;972032814;10/7/2024
29401909;45255815;430278122;10/7/2024
83051643;45255812;400230365;10/7/2024
47827580;45255816;961430368;10/7/2024
83438564;45459769;232730876;10/7/2024
44897588;45255813;211732247;10/7/2024
46488898;45255818;214033874;10/7/2024
42828708;45459767;202930122;10/7/2024
8321140;45460611;851231439;10/7/2024
85219223;44707432;783842009;10/7/2024
49132407;44707428;804740387;10/7/2024
58988483;44570026;283169585;10/7/2024
88022641;44710742;312841421;10/7/2024
99857103;44570571;401369849;10/7/2024
94796572;45456591;333840951;10/7/2024
95552472;45456955;340634743;10/7/2024
93585519;45456958;331040119;10/7/2024
93229100;45456964;324330896;10/7/2024
92388159;45456959;324031637;10/7/2024
94522510;45461009;331934319;10/7/2024
93811012;45461013;331133864;10/7/2024
99064634;45461005;423178450;10/7/2024
94540802;45461006;360131987;10/7/2024
91988861;45461008;324031638;10/7/2024
99483270;45461011;423178496;10/7/2024
99484480;45461012;321332745;10/7/2024
81792751;45460137;222730541;10/7/2024
82836779;45460144;312832390;10/7/2024
83713271;45460140;244830486;10/7/2024
85030520;45456962;294733111;10/7/2024
78456746;45456963;284533134;10/7/2024
86882295;45456956;282731125;10/7/2024
84293268;45456957;324332744;10/7/2024
