
UC;NEW_NIO;OLD_NIO;DATA
85266205;45257989;294732852;10/9/2024
42446236;45254742;992532757;10/14/24
69155984;45252135;784430340;10/14/24
87659379;45257157;270431700;10/14/24
76680665;45456622;202930691;10/14/24
90230027;45256926;431177735;10/14/24
55446906;45253651;331131695;10/14/24
67397514;45255635;262731891;10/14/24
97075680;45460004;341833918;10/14/24
20779950;45457965;400231159;10/14/24
88935833;44714879;301642018;10/14/24
83914480;45257799;291930041;10/14/24
110323807;45460583;370731413;10/14/24
37046632;45251858;804730083;10/14/24
89738144;45460086;392330301;10/14/24
77421213;45252118;272233165;10/14/24
91216184;44715146;973640727;10/14/24
89555180;45257271;353230193;10/14/24
70888590;45257278;373332870;10/14/24
73784478;45257279;360131907;10/14/24
85775150;45257275;412477491;10/14/24
82302260;45257272;415578086;10/14/24
113533187;45457992;411177295;10/14/24
106002821;45457985;391231524;10/14/24
91590337;44714958;311940189;10/14/24
36588393;44715217;311942215;10/15/24
37197126;44715219;430280875;10/15/24
19380399;45254743;894232531;10/15/24
89167074;44715216;883640835;10/15/24
88191320;45254745;362233506;10/15/24
88276503;45255032;390731635;10/15/24
90729153;45254741;362233573;10/15/24
90729170;45255046;362233572;10/15/24
90729269;45255043;362233504;10/15/24
108017150;45255048;390530877;10/15/24
108017192;45255034;390530972;10/15/24
108017206;45255039;390533952;10/15/24
108017257;45255041;390533954;10/15/24
105539600;45255040;390232403;10/15/24
71955771;44282518;421077243;10/15/24
64323420;45461427;893430464;10/15/24
51911442;45461429;953430200;10/15/24
78108276;45461425;311332763;10/15/24
88620085;45461434;282630680;10/15/24
55055540;45461432;414976627;10/15/24
86967290;45458889;914431220;10/15/24
59726946;45456663;324030714;10/15/24
35240253;45456662;430778150;10/15/24
46152440;45458894;431377952;10/15/24
91217644;45458890;781935079;10/15/24
38990920;45458891;373530501;10/15/24
50086197;45456657;373533515;10/15/24
64923673;45252127;410878220;10/15/24
37828096;45252120;423176431;10/15/24
30271240;45252123;331133256;10/15/24
53741579;45252121;240931996;10/15/24
81927690;45252126;291931002;10/15/24
8439524;45456654;202930739;10/15/24
8439540;45456698;391931255;10/15/24
43807607;45257087;381332353;10/15/24
86028723;45457665;341831464;10/15/24
34454632;45459571;324330599;10/15/24
84360216;45457669;291930135;10/15/24
84360062;45457671;291930136;10/15/24
55107257;44711176;802940236;10/15/24
82470332;45257086;273130059;10/15/24
8333424;44711682;420579720;10/15/24
99411555;45456631;324331923;10/15/24
27585514;45456633;342342768;10/15/24
8333815;45456630;294532415;10/15/24
53987659;45456625;860930132;10/15/24
19996659;44714685;893242077;10/15/24
67782019;45456627;264130230;10/15/24
31247989;44714683;953140585;10/15/24
98831500;44714681;311943077;10/15/24
81075596;44714680;940544430;10/15/24
8212767;45257265;982530009;10/15/24
66202922;45257263;380972713;10/15/24
39951456;45257256;930432842;10/15/24
88179168;45257269;312130946;10/15/24
62152904;45257267;372933671;10/15/24
71282971;44715459;223040410;10/15/24
55939104;44715456;990841077;10/15/24
44757573;45460455;212130597;10/15/24
62721453;44714725;980840484;10/15/24
19964226;44715594;390142477;10/15/24
63717220;44714723;413180330;10/15/24
71142800;45460458;271733352;10/15/24
36088170;45460456;210534429;10/15/24
98062719;45257418;352432866;10/15/24
100996345;45257416;360131855;10/15/24
98678043;45257415;352432864;10/15/24
98137964;45257412;351730177;10/15/24
98623583;45257410;353131984;10/15/24
96319003;45257411;331933311;10/15/24
97773778;45257417;370733039;10/15/24
98204289;45257413;331933965;10/15/24
97004669;45257414;341832867;10/15/24
42538106;45257155;992533685;10/15/24
8376204;45257177;312833558;10/15/24
100412475;45257154;353131612;10/15/24
108688321;45257158;411377135;10/15/24
81368100;45257172;430678587;10/15/24
58905391;44257151;391430639;10/15/24
61731960;45257170;280932270;10/15/24
100788149;45252107;360133176;10/15/24
96517387;45256943;342633957;10/15/24
97527262;45255696;350133146;10/15/24
97863564;45256925;351230253;10/15/24
98774301;45252103;351730115;10/15/24
103599673;45253609;370730423;10/15/24
97281581;45252101;343234858;10/15/24
104702346;45255694;380731553;10/15/24
97227803;45252102;343234938;10/15/24
100788122;45458292;390634574;10/15/24
97762130;45458293;342642326;10/15/24
8293104;45257826;373530623;10/15/24
90066642;44715538;321341322;10/15/24
8292817;45257974;903630276;10/15/24
25582704;45257825;281033084;10/15/24
106557092;44715543;412079593;10/15/24
57101060;45257972;270130840;10/15/24
68076150;45254032;361732262;10/15/24
61976164;45254039;904631948;10/15/24
55008127;45254035;211330230;10/15/24
54098440;44715415;854541711;10/15/24
93528825;44715160;410179815;10/15/24
37093444;44715165;421979654;10/15/24
25707710;44708721;914142651;10/15/24
66447178;44571991;420581374;10/15/24
82620504;44715441;411480637;10/15/24
97612243;45460687;350133679;10/15/24
97258741;45460690;342730245;10/15/24
98723863;45460686;351730985;10/15/24
100781209;45460689;360133179;10/15/24
96439408;45460693;324331430;10/15/24
96449527;45460661;342632999;10/15/24
96465409;45460692;341834000;10/15/24
99715848;45460688;360133087;10/15/24
106682431;45460685;400630081;10/15/24
100783236;45460655;360133177;10/15/24
