
UC;ETAPA;Ligação_Tipo Fase;Início Fat-Outubro;Final Fat-Outubro;Início Fat-Novembro;Final Fat-Novembro;Início Fat-Dezembro;Final Fat-Dezembro;Início Fat-Janeiro;Final Fat-Janeiro;Início Fat-Janeiro_27;Final Fat-Janeiro_28;
34044051;1;MO;30/9/2024;3/10/2024;31/10/2024;5/11/2024;30/11/2024;4/12/2024;31/12/2024;6/1/2025;31/1/2025;5/2/2025;
105788228;1;TR;;;;;;;;;;;
98176722;1;BI;;;;;;;;;;;
108069818;1;BI;;;;;;;;;;;
101304633;1;TR;;;;;;;;;;;
98032615;1;TR;;;;;;;;;;;
98695410;1;BI;;;;;;;;;;;
104644109;1;TR;;;;;;;;;;;
96349271;1;BI;;;;;;;;;;;
108668940;1;TR;;;;;;;;;;;
85028622;1;TR;;;;;;;;;;;
98951947;1;TR;;;;;;;;;;;
103441220;1;BI;;;;;;;;;;;
94340170;1;BI;;;;;;;;;;;
108681602;1;TR;;;;;;;;;;;
91894638;1;TR;;;;;;;;;;;
84989459;1;TR;;;;;;;;;;;
91200474;1;TR;;;;;;;;;;;
100496652;1;BI;;;;;;;;;;;
103487646;1;BI;;;;;;;;;;;
108286533;1;TR;;;;;;;;;;;
106138430;1;BI;;;;;;;;;;;
94804133;1;TR;;;;;;;;;;;
111795745;1;TR;;;;;;;;;;;
112474985;1;TR;;;;;;;;;;;
108904571;1;TR;;;;;;;;;;;
102948542;1;TR;;;;;;;;;;;
95380906;1;TR;;;;;;;;;;;
106107348;1;TR;;;;;;;;;;;
94122350;1;TR;;;;;;;;;;;
94919020;1;BI;;;;;;;;;;;
110387554;1;TR;;;;;;;;;;;
104540230;1;TR;;;;;;;;;;;
93598653;1;TR;;;;;;;;;;;
95515321;1;TR;;;;;;;;;;;
108194280;1;BI;;;;;;;;;;;
90279298;1;BI;;;;;;;;;;;
110583833;1;TR;;;;;;;;;;;
102795304;1;TR;;;;;;;;;;;
103256946;1;TR;;;;;;;;;;;
93600976;1;TR;;;;;;;;;;;
101389051;1;TR;;;;;;;;;;;
112544541;1;TR;;;;;;;;;;;
103412743;1;TR;;;;;;;;;;;
101443480;1;BI;;;;;;;;;;;
101190913;1;BI;;;;;;;;;;;
106299433;1;TR;;;;;;;;;;;
109792076;1;BI;;;;;;;;;;;
97137588;1;BI;;;;;;;;;;;
110215451;1;BI;;;;;;;;;;;
100137482;1;TR;;;;;;;;;;;
101283679;1;TR;;;;;;;;;;;
111588987;1;TR;;;;;;;;;;;
101246587;1;TR;;;;;;;;;;;
109910877;1;TR;;;;;;;;;;;
95691502;1;BI;;;;;;;;;;;
104309822;1;TR;;;;;;;;;;;
97398985;1;BI;;;;;;;;;;;
104969741;1;TR;;;;;;;;;;;
109151909;1;BI;;;;;;;;;;;
107502267;1;BI;;;;;;;;;;;
107541149;1;TR;;;;;;;;;;;
112093779;1;TR;;;;;;;;;;;
106629271;1;TR;;;;;;;;;;;
103726543;1;TR;;;;;;;;;;;
109434030;1;TR;;;;;;;;;;;
110075447;1;TR;;;;;;;;;;;
94365822;1;TR;;;;;;;;;;;
108929612;1;TR;;;;;;;;;;;
86350110;1;TR;;;;;;;;;;;
101135939;1;TR;;;;;;;;;;;
90847342;1;TR;;;;;;;;;;;
76413888;1;TR;;;;;;;;;;;
81384866;1;BI;;;;;;;;;;;
77512979;1;BI;;;;;;;;;;;
77493346;1;BI;;;;;;;;;;;
77669398;1;BI;;;;;;;;;;;
81588593;1;BI;;;;;;;;;;;
73115126;1;TR;;;;;;;;;;;
84361093;1;BI;;;;;;;;;;;
79431585;1;BI;;;;;;;;;;;
78019931;1;BI;;;;;;;;;;;
77670442;1;BI;;;;;;;;;;;
89895754;1;BI;;;;;;;;;;;
79166245;1;BI;;;;;;;;;;;
77669746;1;BI;;;;;;;;;;;
82634831;1;BI;;;;;;;;;;;
54820545;1;BI;;;;;;;;;;;
87287722;1;BI;;;;;;;;;;;
78359619;1;BI;;;;;;;;;;;
86343599;1;BI;;;;;;;;;;;
73114995;1;TR;;;;;;;;;;;
93810741;1;BI;;;;;;;;;;;
78388392;1;BI;;;;;;;;;;;
86395785;1;TR;;;;;;;;;;;
108514170;1;BI;;;;;;;;;;;
8489807;1;TR;;;;;;;;;;;
101307411;1;BI;;;;;;;;;;;
77669100;1;BI;;;;;;;;;;;
82020728;1;BI;;;;;;;;;;;
99974096;1;BI;;;;;;;;;;;
86386573;1;BI;;;;;;;;;;;
77779916;1;BI;;;;;;;;;;;
109428838;1;BI;;;;;;;;;;;
89436660;1;BI;;;;;;;;;;;
77815645;1;BI;;;;;;;;;;;
98371231;1;MR;;;;;;;;;;;
86836838;1;BI;;;;;;;;;;;
79756689;1;BI;;;;;;;;;;;
77492803;1;TR;;;;;;;;;;;
78258456;1;TR;;;;;;;;;;;
88831060;1;BI;;;;;;;;;;;
87868148;1;BI;;;;;;;;;;;
98784862;1;BI;;;;;;;;;;;
86984799;1;BI;;;;;;;;;;;
109570170;1;BI;;;;;;;;;;;
78071682;1;TR;;;;;;;;;;;
78006848;1;TR;;;;;;;;;;;
78733103;1;TR;;;;;;;;;;;
77513240;1;BI;;;;;;;;;;;
77494504;1;BI;;;;;;;;;;;
85723690;1;BI;;;;;;;;;;;
80879918;1;BI;;;;;;;;;;;
77494792;1;BI;;;;;;;;;;;
93336730;1;BI;;;;;;;;;;;
82052514;1;BI;;;;;;;;;;;
77494385;1;BI;;;;;;;;;;;
83718834;1;BI;;;;;;;;;;;
77512774;1;BI;;;;;;;;;;;
78020409;1;BI;;;;;;;;;;;
98331809;1;BI;;;;;;;;;;;
102958599;1;TR;;;;;;;;;;;
83343229;1;TR;;;;;;;;;;;
77613198;1;TR;;;;;;;;;;;
107987430;1;BI;;;;;;;;;;;
53618092;1;TR;;;;;;;;;;;
102700214;1;TR;;;;;;;;;;;
82319308;1;TR;;;;;;;;;;;
88150844;1;TR;;;;;;;;;;;
91340578;1;TR;;;;;;;;;;;
39043860;1;MO;;;;;;;;;;;
8494215;1;TR;;;;;;;;;;;
77505832;1;TR;;;;;;;;;;;
91755280;1;TR;;;;;;;;;;;
101579411;1;TR;;;;;;;;;;;
109532082;1;TR;;;;;;;;;;;
105645788;1;BI;;;;;;;;;;;
103328270;1;BI;;;;;;;;;;;
107760800;1;BI;;;;;;;;;;;
112396089;1;BI;;;;;;;;;;;
104324988;1;TR;;;;;;;;;;;
94215898;1;MO;;;;;;;;;;;
107765233;1;MR;;;;;;;;;;;
106176609;1;BI;;;;;;;;;;;
105660922;1;BI;;;;;;;;;;;
107425203;1;TR;;;;;;;;;;;
109849116;1;BI;;;;;;;;;;;
8489700;1;TR;;;;;;;;;;;
92659098;1;TR;;;;;;;;;;;
106770985;1;MO;;;;;;;;;;;
80497195;1;BI;;;;;;;;;;;
97418625;1;TR;;;;;;;;;;;
51133385;1;TR;;;;;;;;;;;
86254774;1;TR;;;;;;;;;;;
88387330;1;TR;;;;;;;;;;;
99938650;1;BI;;;;;;;;;;;
82963223;1;BI;;;;;;;;;;;
78212022;1;MO;;;;;;;;;;;
98626310;1;TR;;;;;;;;;;;
8489696;1;TR;;;;;;;;;;;
81090994;1;TR;;;;;;;;;;;
81228848;1;TR;;;;;;;;;;;
83170502;1;TR;;;;;;;;;;;
81228813;1;TR;;;;;;;;;;;
78783437;1;TR;;;;;;;;;;;
30686741;1;TR;;;;;;;;;;;
105000299;1;TR;;;;;;;;;;;
75756765;1;TR;;;;;;;;;;;
105093300;1;TR;;;;;;;;;;;
102704627;1;TR;;;;;;;;;;;
104390425;1;TR;;;;;;;;;;;
90207084;1;TR;;;;;;;;;;;
103979131;1;TR;;;;;;;;;;;
95000526;1;TR;;;;;;;;;;;
99686066;1;TR;;;;;;;;;;;
104157046;1;TR;;;;;;;;;;;
107177919;1;TR;;;;;;;;;;;
103755152;1;TR;;;;;;;;;;;
108533344;1;TR;;;;;;;;;;;
108533255;1;TR;;;;;;;;;;;
107059410;1;TR;;;;;;;;;;;
102793492;1;TR;;;;;;;;;;;
100862780;1;TR;;;;;;;;;;;
109006755;1;TR;;;;;;;;;;;
107383926;1;TR;;;;;;;;;;;
111576296;1;TR;;;;;;;;;;;
8494355;1;TR;;;;;;;;;;;
110667395;1;MR;;;;;;;;;;;
102871663;1;TR;;;;;;;;;;;
100087930;1;TR;;;;;;;;;;;
8495408;1;TR;;;;;;;;;;;
94628173;1;MO;;;;;;;;;;;
63424088;1;MO;;;;;;;;;;;
100304281;1;BI;;;;;;;;;;;
69374139;1;TR;;;;;;;;;;;
40282171;1;BI;;;;;;;;;;;
94628165;1;MO;;;;;;;;;;;
43036120;1;BI;;;;;;;;;;;
60271450;1;MO;;;;;;;;;;;
95772278;1;MO;;;;;;;;;;;
93414994;1;MO;;;;;;;;;;;
95425802;1;BI;;;;;;;;;;;
8495432;1;TR;;;;;;;;;;;
28062191;1;TR;;;;;;;;;;;
53396839;1;TR;;;;;;;;;;;
8494100;1;TR;;;;;;;;;;;
80817610;1;TR;;;;;;;;;;;
107991683;1;BI;;;;;;;;;;;
49534203;1;TR;;;;;;;;;;;
90416309;1;TR;;;;;;;;;;;
111120730;1;TR;;;;;;;;;;;
